title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,m_totalImages,ber_rating,longitude,latitude
"Graydon, Newcastle, Co. Dublin",featured,1/24/2022,350000,3,3,Duplex,78,New Homes,15,D2,-8.993666,52.845829
"331 Crumlin Road, Crumlin, Dublin 12",featured,1/14/2022,385000,3,1,Semi-D,114,Buy,23,A3,-6.174928,52.785153
"15 Abington, Malahide, Co. Dublin",featured,1/28/2022,1675000,4,3,Detached,250,Buy,10,D2,-8.432602,51.889041
"Castleland Park, Balbriggan, Co. Dublin",featured,1/27/2022,357500,3,3,Semi-D,200,New Homes,24,D2,-6.138543,53.447733
"Apartment 47, Millfield, Portmarnock, Co. Dublin",featured,1/28/2022,265000,1,1,Apartment,43,Buy,31,C1,-7.256431,52.658123
"9 Mountainview Cottages, Porterstown Road, Castleknock, Dublin 15",featured,1/30/2022,495000,2,1,Bungalow,81,Buy,7,C2,-6.311558,53.377162
"31 Liscahill, Haddon Road, Clontarf, Dublin 3",featured,1/6/2022,995000,7,2,Semi-D,290,Buy,14,D2,-8.458712,51.883606
"2 Ballintyre Meadows, Ballinteer, Ballinteer, Dublin 16",featured,1/6/2022,365000,2,2,Apartment,72,Buy,22,G,-6.234928,53.356553
"188 Beech Park, Lucan, Co. Dublin",featured,1/30/2022,545000,4,2,Semi-D,133,Buy,16,XXX,-6.2297187,53.4450393
"30 Irishtown Road, Dublin 4",featured,1/28/2022,675000,4,2,Terrace,126,Buy,9,E1,-8.783178,53.683317
"34 Hollystown Park, Hollystown, Hollystown, Dublin 15",featured,1/26/2022,500000,4,3,Detached,195,Buy,22,C3,-9.688411,52.283223
"122 Drumnigh Wood, Portmarnock, Co. Dublin",featured,1/4/2022,795000,4,3,Detached,223,Buy,13,C1,-7.738553,54.934539
"30 Mount Argus Crescent, Harold's Cross, Harold's Cross, Dublin 6",featured,1/4/2022,395000,2,1,End of Terrace,58,Buy,20,C3,-6.199654,53.616041
"4 Glenomena Park, Booterstown, Co. Dublin",featured,1/28/2022,795000,4,3,Semi-D,137,Buy,15,XXX,-6.41449,53.995467
"Cullenswood Lodge, 12 Richmond Avenue South, Dartry, Dublin 6",featured,1/28/2022,1400000,3,3,Semi-D,170,Buy,27,D2,-8.532825,52.665842
"23 Littlepace Park, Littlepace, Clonee, Dublin 15",featured,1/30/2022,435000,4,3,Semi-D,126,Buy,35,B3,-6.459014,53.337937
"10 Linnetfields Square, Clonee, Dublin 15",premium,1/30/2022,260000,2,1,Apartment,65,Buy,24,D2,-6.189197,53.452006
"1 Thornberry Square, Clonee, Dublin 15",premium,1/30/2022,250000,2,1,Apartment,70,Buy,12,C1,-8.977616,52.601791
"Apartment 76, Newmarket Square, Dublin 8",premium,1/28/2022,300000,2,1,Apartment,51,Buy,17,C2,-6.424484,53.351762
"69 Lee House, Custom House Square, IFSC, Dublin 1",premium,1/28/2022,560000,3,3,Apartment,113,Buy,20,C3,-6.2066249,53.6132698
"18 Glendun Road, Whitehall, Whitehall, Dublin 9",premium,1/28/2022,345000,2,1,Terrace,65,Buy,20,C1,-6.420213,53.386837
"32 The Kilns, Station Road, Portmarnock, Co. Dublin",premium,1/30/2022,325000,2,1,Apartment,63,Buy,17,C2,-7.167363,52.165109
"17 Clonliffe Avenue, Drumcondra, Dublin 3",premium,1/30/2022,320000,3,2,Terrace,82,Buy,17,C1,-6.672055,53.393487
"117 Ferguson Road, Drumcondra, Dublin 9",premium,1/28/2022,450000,3,1,Terrace,80,Buy,16,C2,-9.293566,53.849928
"3 Saint Mark's Green, Clondalkin, Clondalkin, Dublin 22",premium,1/26/2022,269000,3,1,Terrace,,Buy,23,A2,-6.226621,53.295864
"10 Kinahan Street, Stoneybatter, Dublin 7",premium,1/30/2022,350000,2,1,Terrace,41,Buy,24,B3,-6.671744,53.660831
"2 Hampton Woods, Balbriggan, Co. Dublin",premium,1/27/2022,295000,3,3,End of Terrace,98,Buy,21,D1,-6.41678,53.350561
"24 Ashfield Grove, Ridgewood, Swords, Co. Dublin",premium,1/27/2022,450000,3,3,Semi-D,117,Buy,15,G,-9.506761,52.061168
"70 The Clayton, The Gasworks, South Lotts Road, Dublin 4",premium,1/28/2022,350000,1,1,Apartment,51,Buy,26,D2,-6.279413,53.286564
"10 Muldowney Court, Malahide, Co. Dublin",premium,1/28/2022,1250000,5,3,Detached,200,Buy,20,XXX,-6.232038,53.333728
"153 Larkhill Road, Whitehall, Whitehall, Dublin 9",premium,1/28/2022,345000,2,1,Terrace,85,Buy,7,G,-8.646637,51.768128
"9 Thornleigh Road, Swords, Co. Dublin",premium,1/25/2022,335000,3,3,Terrace,94,Buy,20,C3,-6.3961311,53.9218138
"Apartment 49, Meridian Court, Royal Canal Park, Ashtown, Dublin 15",premium,1/28/2022,240000,1,1,Apartment,45,Buy,20,C1,-7.109165,52.204932
"13 Seaview Avenue East, East Wall, East Wall, Dublin 3",premium,1/28/2022,400000,3,1,Terrace,120,Buy,16,SI_666,-9.435443,52.846048
"21 Boroimhe Elms, Swords, Co. Dublin",premium,1/30/2022,260000,2,2,Apartment,65,Buy,3,A3,-6.462498886,52.3250083
"Apartment 35, Newmarket Square, Dublin 8",premium,1/27/2022,300000,2,1,Apartment,58,Buy,15,D2,-6.194328,53.29281
"9 Chancery Court, Bride Street, Dublin 8",premium,1/30/2022,375000,2,1,Apartment,60,Buy,13,D2,-7.8913,54.045315
"36 Clonuske Green, Balbriggan, Co. Dublin",premium,1/30/2022,210000,2,1,Apartment,62,Buy,33,C2,-7.50761,52.513131
"23 Village Weir, Lucan, Co. Dublin",premium,1/24/2022,265000,2,1,Apartment,60,Buy,25,D2,-7.150584,52.167461
"2 Adamstown Avenue, Adamstown Castle, Lucan, Co. Dublin",premium,1/20/2022,285000,2,2,Apartment,79,Buy,34,D2,-7.506179,53.268962
"6 Farmleigh Avenue, Farmleigh Woods, Castleknock, Dublin 15",premium,1/30/2022,1600000,5,5,End of Terrace,310,Buy,23,SI_666,-6.238574,53.330873
"Apartment 7, Lissadel Wood, Malahide, Co. Dublin",premium,1/28/2022,285000,2,2,Apartment,43,Buy,5,C3,-6.2382959,53.2705646
"Apartment 1, 16 Nottingham Street, North Strand, Dublin 3",premium,1/29/2022,395000,4,3,Terrace,135,Buy,4,A3,-8.400895798,51.94105807
"8 Mount Bellew Way, Lucan, Co. Dublin",premium,1/20/2022,260000,2,2,Apartment,64,Buy,6,A3,-8.400895798,51.94105807
"17 Strand Road, Portmarnock, Co. Dublin",premium,1/28/2022,795000,4,3,Detached,156,Buy,12,E1,-6.063913,53.106323
"6 Observatory Court, Observatory Lane, Rathmines, Dublin 6",premium,1/28/2022,975000,3,4,Detached,142,Buy,26,E2,-6.260543,53.367819
"51 Parkview, Robswalls, Malahide, Co. Dublin",premium,1/30/2022,425000,2,2,Duplex,80,Buy,14,F,-6.324857,53.309794
"Apartment 42, 55 Mountjoy Square West, Dublin 1",premium,1/26/2022,280000,2,1,Apartment,55,Buy,15,D1,-7.864524,51.941923
"68 Holywell, Upper Kilmacud Road, Kilmacud, Co. Dublin",premium,1/30/2022,750000,3,3,Terrace,93,Buy,16,D2,-6.251519,53.289111
"43 The Holly, Rockfield, Dundrum, Dublin 16",premium,1/30/2022,645000,3,2,Apartment,115,Buy,17,D2,-8.990892,53.284021
"78 Castlemill, Balbriggan, Co. Dublin",premium,1/28/2022,199950,2,2,Apartment,65,Buy,15,D1,-8.769636,53.764647
"40 Portersgate Heights, Clonsilla, Dublin 15",premium,1/28/2022,385000,3,3,Semi-D,97,Buy,24,E1,-6.358932,53.374213
"Caneiros, Torquay Road, Foxrock, Dublin 18",premium,1/30/2022,1950000,4,3,Detached,261,Buy,16,XXX,-7.330608045,53.74232411
"10 Cornelscourt Hill Road, Foxrock, Dublin 18",premium,1/30/2022,850000,3,2,Bungalow,240,Buy,15,G,-8.935382,52.707915
"15 Bargy Road, East Wall, Dublin 3",premium,1/28/2022,425000,3,1,End of Terrace,94,Buy,20,C3,-8.854136,52.716836
"23 Clonliffe Gardens, Drumcondra, Dublin 3",premium,1/28/2022,495000,3,1,Terrace,85,Buy,12,G,-6.572949,52.50183
"20 Saint Columba's Road Lower, Drumcondra, Drumcondra, Dublin 9",premium,1/28/2022,645000,3,2,Terrace,123,Buy,15,C1,-6.151248,53.41911
"52 Pearse Square, Dublin 2",premium,1/28/2022,800000,3,2,Terrace,107,Buy,44,C2,-6.451234,52.376448
"1 Killeen Park, Malahide, Co. Dublin",premium,1/28/2022,540000,3,3,Semi-D,118,Buy,17,G,-6.30769,53.337087
"64 Belcamp Avenue, Darndale, Dublin 17",premium,1/28/2022,275000,4,1,Terrace,90,Buy,13,B3,-8.591889,51.889773
"3 Brookdale Way, Swords, Co. Dublin",premium,1/30/2022,365000,3,1,Semi-D,122,Buy,27,C1,-6.398837,54.0083
"8 Berwick Rise, Swords, Co. Dublin",premium,1/30/2022,360000,3,2,Semi-D,113,Buy,11,E1,-6.404823,53.993057
"5 Avondale Terrace, Perrystown, Dublin 12",premium,1/30/2022,495000,3,1,Detached,95,Buy,14,E1,-6.253586,53.375153
"Ardilea Crescent Development, Ardilea Crescent Development, Ardilea, Clonskeagh, Dublin 14",premium,1/28/2022,540000,2,2,Apartment,579,New Homes,63,C3,-7.755936,53.573835
"Ardilea Crescent Development, Ardilea Crescent Development, Ardilea, Clonskeagh, Dublin 14",premium,1/28/2022,625000,3,2,Apartment,,New Homes,9,SI_666,-7.714146,53.585079
"Hanover Court, The Reflector, Grand Canal Dock, Dublin 2",premium,1/14/2022,685000,2,2,Apartment,191,New Homes,44,C1,-8.995356,53.165647
"111 The Gallery, Donabate, Co. Dublin",premium,1/30/2022,295000,2,2,Apartment,76,Buy,52,C1,-6.789118,53.164521
"34 Liffey Avenue, Liffey Valley Park, Lucan, Co. Dublin",premium,1/28/2022,300000,4,4,Semi-D,121,Buy,39,E1,-7.245998,52.656741
"22 Park Avenue, Grange Road, Rathfarnham, Dublin 14",premium,1/28/2022,660000,4,3,Detached,126,Buy,3,A2,-6.174798375,53.27337565
"Lansdowne Place, Lansdowne Place, Ballsbridge, Dublin 4",premium,1/30/2022,825000,1,1,Apartment,,New Homes,7,A2,-7.310122589,53.51984231
"Lansdowne Place, Lansdowne Place, Ballsbridge, Dublin 4",premium,1/30/2022,925000,2,1,Apartment,,New Homes,6,A2,-7.310122589,53.51984231
"Lansdowne Place, Lansdowne Place, Ballsbridge, Dublin 4",premium,1/30/2022,2150000,2,1,Apartment,,New Homes,18,A2,-6.232123361,53.33341744
"625 North Circular Road, Dublin 1",premium,1/28/2022,995000,8,8,Apartment,211,Buy,3,A2,-7.235633582,52.22846323
"52 Hunters Walk, Hunters Wood, Ballycullen, Dublin 24",premium,1/30/2022,495000,4,3,Detached,129,Buy,1,A2,-7.270512904,52.6592122
"Penthouse 31, House 12, Linden Square, Blackrock, Co. Dublin",premium,1/30/2022,749000,3,2,Apartment,140,Buy,10,A2,-7.999571909,51.94002019
"76 Springvale, Edmondstown Road, Rathfarnham, Dublin 16",premium,1/30/2022,475000,3,3,Semi-D,96,Buy,1,A2,-6.884168679,53.73537529
"8 Waterside Drive, Malahide, Co. Dublin",premium,1/28/2022,395000,3,2,Duplex,125,Buy,1,A2,-6.884168679,53.73537529
"60 St Alban's Park, Sandymount, Dublin 4",premium,1/30/2022,945000,3,2,Semi-D,125,Buy,7,A2,-6.81597501,53.00821739
"141 Tritonville Road, Sandymount, Dublin 4",premium,1/30/2022,1575000,3,3,Terrace,178,Buy,1,A3,-7.234891524,52.67189077
"157 Whitehall Road West, Manor Estate, Terenure, Dublin 12",premium,1/30/2022,650000,3,1,Semi-D,92,Buy,29,A3,-7.234891524,52.67189077
"29 Bunratty Road, Coolock, Coolock, Dublin 5",premium,1/27/2022,295000,3,1,Semi-D,80,Buy,10,A2,-7.065116154,52.23028139
